Initial Position	End Position
(113, 833)	Removed
(896, 510)	Removed
(930, 610)	(930, 610)
(615, 611)	(615, 611)
(833, 704)	(833, 704)
(741, 465)	(741, 465)
(607, 678)	(607, 678)
(245, 368)	(245, 368)
(901, 884)	(901, 884)
(56, 734)	(56, 734)
(820, 84)	(820, 84)
(616, 889)	(616, 889)
(456, 501)	(456, 501)
(692, 660)	(692, 660)
(640, 806)	(640, 806)
(725, 560)	(725, 560)
(440, 343)	(440, 343)
(564, 591)	(564, 591)
(5, 722)	(5, 722)
(33, 360)	(546, 645)
(238, 911)	(238, 911)
(84, 216)	(84, 216)
(985, 801)	(985, 801)
(360, 913)	(360, 913)
(267, 191)	(267, 191)
(773, 850)	(773, 850)
(983, 488)	(983, 488)
(385, 548)	(385, 548)
(970, 104)	(970, 104)
(389, 865)	(389, 865)
(917, 27)	(917, 27)
(470, 691)	(470, 691)
(205, 9)	(205, 9)
(378, 764)	(378, 764)
(218, 623)	(218, 623)
(579, 751)	(579, 751)
(121, 0)	(121, 0)
(889, 948)	(889, 948)
(247, 588)	(247, 588)
(866, 916)	(866, 916)
(815, 701)	(815, 701)
(231, 480)	(231, 480)
(649, 400)	(649, 400)
(179, 334)	(179, 334)
(633, 608)	(633, 608)
(118, 947)	(118, 947)
(949, 298)	(949, 298)
(372, 639)	(372, 639)
(841, 353)	(841, 353)
(80, 162)	(80, 162)
(872, 932)	(872, 932)
(449, 650)	(449, 650)
(785, 747)	(785, 747)
(438, 272)	(438, 272)
(909, 4)	(909, 4)
(583, 532)	(583, 532)
(278, 364)	(278, 364)
(854, 322)	(854, 322)
(725, 958)	(725, 958)
(930, 981)	(930, 981)
(469, 474)	(469, 474)
(333, 282)	(333, 282)
(225, 577)	(225, 577)
(532, 602)	(529, 404)
(494, 707)	(494, 707)
(453, 371)	(453, 371)
(519, 582)	(519, 582)
(175, 66)	(175, 66)
(791, 420)	(791, 897)
(954, 896)	(954, 896)
(488, 731)	(488, 731)
(743, 97)	(188, 339)
(417, 591)	(417, 591)
(352, 337)	(352, 337)
(293, 238)	(293, 238)
(650, 782)	(650, 782)
(61, 437)	(61, 437)
(930, 680)	(930, 680)
(280, 236)	(280, 236)
(545, 28)	(545, 28)
(51, 903)	(51, 903)
(425, 254)	(425, 254)
(271, 838)	(271, 838)
(225, 408)	(225, 408)
(468, 85)	(468, 85)
(383, 9)	(383, 9)
(975, 798)	(975, 798)
(463, 575)	(463, 575)
(791, 494)	(791, 494)
(336, 793)	(336, 793)
(800, 445)	(800, 445)
(155, 722)	(155, 722)
(31, 798)	(31, 798)
(520, 532)	(520, 532)
(832, 370)	(832, 370)
(926, 831)	(926, 831)
(993, 501)	(993, 501)
(777, 693)	(777, 693)
(664, 874)	(664, 874)
(962, 193)	(962, 193)
